invoice_id,account_id,month,issue_date,due_date,paid_date,plan_tier,amount,credit_amount
INV0001,A01,2024-01-01,2024-01-05,2024-01-19,2024-01-06,starter,210,0
INV0002,A01,2024-02-01,2024-02-05,2024-02-19,2024-02-07,starter,225,0
INV0003,A01,2024-03-01,2024-03-05,2024-03-19,2024-03-08,starter,240,0
INV0004,A01,2024-04-01,2024-04-05,2024-04-19,2024-04-09,starter,255,0
INV0005,A01,2024-05-01,2024-05-05,2024-05-19,2024-05-10,growth,400,0
INV0006,A01,2024-06-01,2024-06-05,2024-06-19,2024-06-11,starter,285,20
INV0007,A02,2024-01-01,2024-01-05,2024-01-19,2024-01-07,starter,225,0
INV0008,A02,2024-02-01,2024-02-05,2024-02-19,2024-02-09,starter,255,0
INV0009,A02,2024-03-01,2024-03-05,2024-03-19,2024-03-11,starter,285,0
INV0010,A02,2024-04-01,2024-04-05,2024-04-19,2024-04-13,growth,445,0
INV0011,A02,2024-05-01,2024-05-05,2024-05-19,2024-05-15,starter,345,20
INV0012,A02,2024-06-01,2024-06-05,2024-06-19,2024-06-17,starter,375,0
INV0013,A03,2024-01-01,2024-01-05,2024-01-19,2024-01-08,starter,240,0
INV0014,A03,2024-02-01,2024-02-05,2024-02-19,2024-02-11,starter,285,0
INV0015,A03,2024-03-01,2024-03-05,2024-03-19,2024-03-14,growth,460,0
INV0016,A03,2024-04-01,2024-04-05,2024-04-19,2024-04-17,starter,375,20
INV0017,A03,2024-05-01,2024-05-05,2024-05-19,2024-05-20,starter,420,0
INV0018,A03,2024-06-01,2024-06-05,2024-06-19,2024-06-23,starter,225,0
INV0019,A04,2024-01-01,2024-01-05,2024-01-19,2024-01-09,starter,255,0
INV0020,A04,2024-02-01,2024-02-05,2024-02-19,2024-02-13,growth,445,0
INV0021,A04,2024-03-01,2024-03-05,2024-03-19,2024-03-17,starter,375,20
INV0022,A04,2024-04-01,2024-04-05,2024-04-19,2024-04-21,starter,195,0
INV0023,A04,2024-05-01,2024-05-05,2024-05-19,2024-05-25,starter,255,0
INV0024,A04,2024-06-01,2024-06-05,2024-06-19,2024-06-07,starter,315,0
INV0025,A05,2024-01-01,2024-01-05,2024-01-19,2024-01-10,enterprise,650,0
INV0026,A05,2024-02-01,2024-02-05,2024-02-19,2024-02-15,growth,475,20
INV0027,A05,2024-03-01,2024-03-05,2024-03-19,2024-03-20,growth,550,0
INV0028,A05,2024-04-01,2024-04-05,2024-04-19,2024-04-25,growth,385,0
INV0029,A05,2024-05-01,2024-05-05,2024-05-19,2024-05-08,growth,460,0
INV0030,A05,2024-06-01,2024-06-05,2024-06-19,2024-06-13,enterprise,785,0
INV0031,A06,2024-01-01,2024-01-05,2024-01-19,2024-01-11,growth,415,20
INV0032,A06,2024-02-01,2024-02-05,2024-02-19,2024-02-17,growth,505,0
INV0033,A06,2024-03-01,2024-03-05,2024-03-19,2024-03-23,growth,355,0
INV0034,A06,2024-04-01,2024-04-05,2024-04-19,2024-04-07,growth,445,0
INV0035,A06,2024-05-01,2024-05-05,2024-05-19,2024-05-13,enterprise,785,0
INV0036,A06,2024-06-01,2024-06-05,2024-06-19,2024-06-19,growth,385,0
INV0037,A07,2024-01-01,2024-01-05,2024-01-19,2024-01-12,growth,430,0
INV0038,A07,2024-02-01,2024-02-05,2024-02-19,2024-02-19,growth,535,0
INV0039,A07,2024-03-01,2024-03-05,2024-03-19,2024-03-26,growth,400,0
INV0040,A07,2024-04-01,2024-04-05,2024-04-19,2024-04-11,enterprise,755,0
INV0041,A07,2024-05-01,2024-05-05,2024-05-19,2024-05-18,growth,370,0
INV0042,A07,2024-06-01,2024-06-05,2024-06-19,2024-06-25,growth,475,0
INV0043,A08,2024-01-01,2024-01-05,2024-01-19,2024-01-13,growth,445,0
INV0044,A08,2024-02-01,2024-02-05,2024-02-19,2024-02-21,growth,325,0
INV0045,A08,2024-03-01,2024-03-05,2024-03-19,2024-03-07,enterprise,695,0
INV0046,A08,2024-04-01,2024-04-05,2024-04-19,2024-04-15,growth,325,0
INV0047,A08,2024-05-01,2024-05-05,2024-05-19,2024-05-23,growth,445,0
INV0048,A08,2024-06-01,2024-06-05,2024-06-19,2024-06-09,growth,325,20
INV0049,A09,2024-01-01,2024-01-05,2024-01-19,2024-01-14,enterprise,710,0
INV0050,A09,2024-02-01,2024-02-05,2024-02-19,2024-02-23,enterprise,605,0
INV0051,A09,2024-03-01,2024-03-05,2024-03-19,2024-03-10,enterprise,740,0
INV0052,A09,2024-04-01,2024-04-05,2024-04-19,2024-04-19,enterprise,635,0
INV0053,A09,2024-05-01,2024-05-05,2024-05-19,2024-05-06,enterprise,770,20
INV0054,A09,2024-06-01,2024-06-05,2024-06-19,2024-06-15,enterprise,665,0
INV0055,A10,2024-01-01,2024-01-05,2024-01-19,2024-01-15,enterprise,725,0
INV0056,A10,2024-02-01,2024-02-05,2024-02-19,2024-02-25,enterprise,635,0
INV0057,A10,2024-03-01,2024-03-05,2024-03-19,2024-03-13,enterprise,785,0
INV0058,A10,2024-04-01,2024-04-05,2024-04-19,2024-04-23,enterprise,695,20
INV0059,A10,2024-05-01,2024-05-05,2024-05-19,2024-05-11,enterprise,605,0
INV0060,A10,2024-06-01,2024-06-05,2024-06-19,2024-06-21,enterprise,755,0
INV0061,A11,2024-02-01,2024-02-05,2024-02-19,2024-02-05,enterprise,665,0
INV0062,A11,2024-03-01,2024-03-05,2024-03-19,2024-03-16,enterprise,590,20
INV0063,A11,2024-04-01,2024-04-05,2024-04-19,2024-04-05,enterprise,755,0
INV0064,A11,2024-05-01,2024-05-05,2024-05-19,2024-05-16,enterprise,680,0
INV0065,A11,2024-06-01,2024-06-05,2024-06-19,2024-06-05,enterprise,605,0
INV0066,A12,2024-02-01,2024-02-05,2024-02-19,2024-02-07,enterprise,695,20
INV0067,A12,2024-03-01,2024-03-05,2024-03-19,2024-03-19,enterprise,635,0
INV0068,A12,2024-04-01,2024-04-05,2024-04-19,2024-04-09,enterprise,575,0
INV0069,A12,2024-05-01,2024-05-05,2024-05-19,2024-05-21,enterprise,755,0
INV0070,A12,2024-06-01,2024-06-05,2024-06-19,2024-06-11,enterprise,695,0
